Date,River_flow
2001-12-02,3960.12
2001-12-03,3892.15
2001-12-04,5509.36
2001-12-05,9771.31
2001-12-06,25119.32
2001-12-07,22571.09
2001-12-08,27758.05
2001-12-09,36134.63
2001-12-10,31646.76
2001-12-11,11521.14
2001-12-12,6154.12
2001-12-13,6246.51
2001-12-14,6346.06
2001-12-15,6471.85
2001-12-16,6605.82
2001-12-17,6715.93
2001-12-18,5630.85
2001-12-19,5762.11
2001-12-20,5877.97
2001-12-21,5983.59
2001-12-22,6108.63
2001-12-23,6290.77
2001-12-24,6445.43
2001-12-25,5088.34
2001-12-26,5324.18
2001-12-27,5567.79
2001-12-28,5807.72
2001-12-29,6067.0
2001-12-30,6309.81
2001-12-31,6300.0
